,County,State,Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,No Preference.Number of Votes,No Preference.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Percent of Votes,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area,Democratic,Republic,Party
259,Unicoi,TN,238,Republican,6.6,272,Democrat,51.3,0,Republican,0.0,0,Republican,0.0,1813,Republican,50.5,244,Democrat,46.0,0,Republican,0.0,128,Republican,3.6,614,Republican,17.1,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,676,Republican,18.8,0,0.0,0,0.0,17963,18313,-1.9,4.4,19.4,21.8,50.8,98.0,0.5,0.3,0.2,0.0,1.0,4.4,93.8,1449,3.4,76.1,12.9,8845,6.8,75.1,115900,1,7601,2.33,87.5,5.0,22.0,32292,20152,21.7,130,3485,0,1195,6751,98.4,186.17,516,3469,0
260,Lincoln,TN,489,Republican,8.9,328,Democrat,30.3,0,Republican,0.0,0,Republican,0.0,2656,Republican,48.3,728,Democrat,67.3,0,Republican,0.0,160,Republican,2.9,850,Republican,15.5,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1262,Republican,22.9,0,0.0,0,0.0,33637,33361,0.8,5.6,22.5,18.4,51.1,89.6,7.2,0.8,0.5,0.1,1.8,3.1,87.2,2382,1.3,80.4,15.5,15346,7.6,76.2,109400,3,13438,2.45,87.3,2.3,27.2,41571,21811,16.3,261,0,1475,3665,11198,58.5,570.34,1056,5417,0
261,Lyon,IA,206,Republican,18.6,113,Democrat,56.8,10,Republican,0.9,3,Republican,0.3,173,Republican,15.6,80,Democrat,40.2,11,Republican,1.0,6,Republican,0.5,229,Republican,20.7,6,Democrat,3.0,3,Republican,0.3,14,Republican,1.3,20,Republican,1.8,432,Republican,39.0,0,0.0,0,0.0,11683,11581,0.9,7.3,28.1,16.9,49.8,98.3,0.3,0.3,0.3,0.1,0.7,2.7,95.9,689,1.1,89.1,17.6,4965,5.5,82.3,105700,55,4425,2.6,92.5,2.0,18.1,52152,23683,8.0,0,1009,2152,910,8113,19.7,587.65,199,1107,0
262,Catron,NM,0,Republican,0.0,183,Democrat,61.4,0,Republican,0.0,0,Republican,0.0,501,Republican,80.2,115,Democrat,38.6,0,Republican,0.0,14,Republican,2.2,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,67,Republican,10.7,0,0.0,0,0.0,3556,3725,-4.5,3.2,14.0,35.0,48.0,93.0,0.6,3.3,0.3,0.0,2.8,19.8,74.9,501,1.6,88.1,18.5,3280,0.2,88.5,158900,0,1581,2.23,88.5,19.0,20.6,39826,20616,19.7,26,0,0,72,2084,0.5,6923.69,298,582,0
263,Kankakee,IL,0,Republican,0.0,5751,Democrat,53.6,0,Republican,0.0,0,Republican,0.0,6403,Republican,42.7,4898,Democrat,45.7,0,Republican,0.0,2287,Republican,15.3,1175,Republican,7.8,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,4645,Republican,31.0,0,0.0,0,0.0,111375,113449,-1.8,6.0,24.1,14.9,50.9,81.2,15.5,0.4,1.1,0.0,1.8,9.9,72.3,8404,4.7,86.4,17.1,45154,18.4,68.9,145900,127,41245,2.62,87.5,8.3,23.4,50102,23779,16.4,0,34189,0,12585,11264,167.7,676.56,10649,14510,0
264,Bibb,AL,393,Republican,9.9,246,Democrat,19.7,0,Republican,0.0,0,Republican,0.0,1959,Republican,49.4,942,Democrat,75.5,0,Republican,0.0,84,Republican,2.1,444,Republican,11.2,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1011,Republican,25.5,0,0.0,0,0.0,22506,22915,-1.8,5.3,21.0,14.8,45.9,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.5,1327,1.2,77.5,12.1,8978,7.3,79.0,90500,19,7091,3.03,86.6,2.1,27.6,36447,17427,18.1,107,0,0,1247,5804,36.8,622.58,1188,3891,0
265,Bedford,TN,475,Republican,7.5,523,Democrat,29.3,0,Republican,0.0,0,Republican,0.0,3081,Republican,48.8,1208,Democrat,67.8,0,Republican,0.0,200,Republican,3.2,821,Republican,13.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1654,Republican,26.2,0,0.0,0,0.0,46627,45058,3.5,6.7,26.2,14.4,50.9,87.2,8.3,1.2,1.3,0.2,1.9,11.7,77.6,3106,7.2,77.5,12.3,18547,10.1,70.0,114600,171,16402,2.73,87.3,11.6,26.6,40759,19303,20.0,352,10472,0,3406,7649,95.1,473.64,1731,6231,0
266,Stanton,NE,0,Republican,0.0,35,Democrat,64.8,0,Republican,0.0,0,Republican,0.0,537,Republican,56.8,19,Democrat,35.2,0,Republican,0.0,100,Republican,10.6,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,250,Republican,26.5,0,0.0,0,0.0,6069,6129,-1.0,6.0,25.9,15.0,49.6,97.1,0.9,0.7,0.1,0.0,1.2,4.8,92.9,317,1.6,91.8,17.7,2638,4.9,81.7,98900,22,2336,2.62,88.4,3.8,17.6,51493,23131,8.5,16,0,0,330,5201,14.3,427.95,54,887,0
267,Brookings,SD,0,Republican,0.0,901,Democrat,48.5,0,Republican,0.0,0,Republican,0.0,915,Republican,56.9,955,Democrat,51.5,0,Republican,0.0,375,Republican,23.3,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,319,Republican,19.8,0,0.0,0,0.0,33314,31965,4.2,6.1,19.7,10.5,49.0,93.0,1.5,1.3,2.8,0.1,1.3,2.5,90.9,2034,4.2,93.6,40.2,13823,30.3,58.0,147400,205,11979,2.38,68.0,6.6,14.4,46896,23105,17.8,531,22657,0,3382,11458,40.3,792.21,1856,1609,1
268,Parke,IN,0,Republican,0.0,539,Democrat,57.9,0,Republican,0.0,0,Republican,0.0,1996,Republican,63.4,392,Democrat,42.1,0,Republican,0.0,142,Republican,4.5,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,921,Republican,29.2,0,0.0,0,0.0,17233,17339,-0.7,6.0,21.6,17.1,53.1,95.9,2.6,0.4,0.2,0.0,0.8,1.3,94.7,1398,1.2,82.8,13.7,8063,3.3,83.8,87600,26,5893,2.66,87.7,6.3,25.9,43870,20534,13.3,0,1376,245,844,4932,39.0,444.66,931,3059,0
269,Bandera,TX,217,Republican,4.1,293,Democrat,43.0,0,Republican,0.0,0,Republican,0.0,1820,Republican,34.7,378,Democrat,55.5,0,Republican,0.0,150,Republican,2.9,618,Republican,11.8,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,2268,Republican,43.2,0,0.0,0,0.0,20892,20485,2.0,4.1,17.4,24.6,50.5,96.0,0.9,1.1,0.5,0.0,1.4,17.9,79.1,3116,3.7,86.6,21.9,11599,0.8,80.3,143600,1,8405,2.4,89.8,10.8,38.9,49215,25364,15.3,232,0,13,765,3766,25.9,790.96,671,5073,0
270,Gentry,MO,0,Republican,0.0,176,Democrat,49.4,0,Republican,0.0,0,Republican,0.0,435,Republican,40.7,171,Democrat,48.0,0,Republican,0.0,116,Republican,10.8,69,Republican,6.4,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,405,Republican,37.9,0,0.0,0,0.0,6826,6738,1.3,7.5,24.6,19.7,51.7,97.7,0.6,0.3,0.4,0.0,1.0,1.0,96.8,604,0.8,85.7,15.3,3196,8.2,72.2,80400,4,2800,2.33,85.3,4.2,20.5,39192,20534,17.2,20,0,351,592,9511,13.7,491.42,347,1025,0
271,Montezuma,CO,0,Republican,0.0,412,Democrat,67.3,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,198,Democrat,32.4,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,0.0,0,0.0,25772,25535,0.9,6.2,22.7,19.1,50.3,83.1,0.5,13.0,0.9,0.1,2.4,12.2,73.2,2319,2.3,89.9,27.3,11981,8.4,70.5,189400,15,10688,2.36,82.0,13.4,22.6,43188,23548,19.3,849,0,520,3013,12003,12.6,2029.53,610,0,1
272,Wetzel,WV,0,Republican,0.0,1744,Democrat,56.5,0,Republican,0.0,0,Republican,0.0,1096,Republican,76.9,845,Democrat,27.4,0,Republican,0.0,80,Republican,5.6,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,147,Republican,10.3,0,0.0,0,0.0,15988,16583,-3.6,5.3,20.1,21.4,50.6,98.1,0.5,0.1,0.4,0.0,0.9,0.7,97.5,1486,0.7,81.5,10.2,8146,8.8,79.3,79000,20,6903,2.36,93.9,1.2,28.0,37969,21653,19.7,210,0,143,2064,12539,46.3,358.06,2589,1323,1
273,Fremont,WY,0,Republican,0.0,10,Democrat,50.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,10,Democrat,50.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,0.0,0,0.0,40703,40123,1.4,7.5,25.5,16.2,50.0,74.7,0.7,21.2,0.6,0.1,2.8,6.7,70.3,3467,1.1,91.3,21.2,17716,10.0,72.0,181000,18,15425,2.58,84.6,7.3,19.2,50418,24037,15.0,669,0,761,5584,14944,4.4,9183.81,20,0,1
274,Drew,AR,176,Republican,8.1,475,Democrat,25.7,0,Republican,0.0,0,Republican,0.0,795,Republican,36.6,1250,Democrat,67.8,0,Republican,0.0,47,Republican,2.2,557,Republican,25.6,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,538,Republican,24.7,0,0.0,0,0.0,18622,18509,0.6,6.3,22.4,16.1,51.2,69.6,28.0,0.4,0.9,0.0,1.1,2.9,67.0,983,1.9,81.3,19.1,8481,13.4,61.2,83300,4,7496,2.37,85.9,3.4,20.8,31171,17057,28.5,196,1561,875,1989,10645,22.3,828.36,1725,2113,0
275,Houston,TX,181,Republican,4.1,101,Democrat,17.4,0,Republican,0.0,0,Republican,0.0,1473,Republican,33.7,464,Democrat,80.0,0,Republican,0.0,84,Republican,1.9,381,Republican,8.7,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,2137,Republican,48.9,0,0.0,0,0.0,22741,23732,-4.2,5.1,19.7,20.6,47.1,71.9,25.8,0.7,0.6,0.0,1.1,10.9,62.0,2109,4.0,80.6,14.8,11548,7.5,71.2,74300,5,7889,2.64,86.5,8.9,24.9,33119,19090,19.7,186,2653,390,1592,7027,19.3,1230.91,565,4256,0
276,Breckinridge,KY,0,Republican,0.0,875,Democrat,45.8,0,Republican,0.0,0,Republican,0.0,489,Republican,38.4,877,Democrat,45.9,0,Republican,0.0,143,Republican,11.2,192,Republican,15.1,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,411,Republican,32.3,0,0.0,0,0.0,19888,20059,-0.8,5.6,22.9,17.6,50.0,95.8,2.2,0.5,0.3,0.0,1.2,1.3,94.7,1707,0.4,76.6,9.4,10615,4.6,80.0,82700,2,7213,2.74,87.4,2.8,28.7,38907,18101,19.6,78,0,193,1138,5968,35.4,567.17,1752,1235,1
277,Smith,MS,0,Republican,0.0,147,Democrat,16.8,0,Republican,0.0,0,Republican,0.0,1820,Republican,55.2,712,Democrat,81.4,0,Republican,0.0,115,Republican,3.5,86,Republican,2.6,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1182,Republican,35.9,0,0.0,0,0.0,16188,16491,-1.8,6.2,24.4,17.2,51.9,75.5,23.6,0.2,0.1,0.0,0.7,1.5,74.3,948,0.6,80.8,13.2,7244,2.1,83.3,77600,2,6269,2.6,94.0,1.5,28.0,34753,20334,23.6,18,4025,125,510,3206,25.9,636.25,859,3203,0
278,Williams,OH,0,Republican,0.0,1156,Democrat,52.6,0,Republican,0.0,0,Republican,0.0,2806,Republican,32.7,1007,Democrat,45.8,0,Republican,0.0,3943,Republican,45.9,236,Republican,2.7,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1314,Republican,15.3,0,0.0,0,0.0,37291,37642,-0.9,5.8,23.1,17.4,50.3,96.8,1.2,0.3,0.6,0.0,1.1,4.1,93.1,3130,1.6,89.3,12.8,16545,13.2,75.3,98600,29,14947,2.44,84.9,3.1,19.2,43089,21350,13.7,337,33768,2291,3338,8708,89.4,420.97,2163,8299,0
279,Boone,NE,0,Republican,0.0,17,Democrat,38.6,0,Republican,0.0,0,Republican,0.0,740,Republican,63.0,27,Democrat,61.4,0,Republican,0.0,154,Republican,13.1,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,187,Republican,15.9,0,0.0,0,0.0,5353,5505,-2.8,5.6,23.0,21.6,49.8,98.3,0.4,0.3,0.3,0.0,0.7,1.7,96.9,514,1.1,93.1,13.8,2643,6.7,77.0,85000,0,2242,2.38,89.8,2.5,17.2,45246,25590,9.7,35,0,926,816,14818,8.0,686.55,44,1081,0
280,Madera,CA,0,Republican,0.0,3626,Democrat,41.7,0,Republican,0.0,0,Republican,0.0,8247,Republican,78.8,4831,Democrat,55.6,0,Republican,0.0,700,Republican,6.7,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1074,Republican,10.3,0,0.0,0,0.0,154548,150865,2.4,7.5,27.6,12.8,51.9,86.0,4.3,4.5,2.5,0.3,2.4,56.1,35.8,8266,21.5,68.5,13.6,49891,10.6,60.8,182000,214,42516,3.37,87.4,44.1,25.5,45625,17847,22.8,1250,14529,3531,10102,6956,70.6,2137.07,8457,10021,0
281,Delaware,PA,0,Republican,0.0,29841,Democrat,39.8,0,Republican,0.0,0,Republican,0.0,42381,Republican,52.2,44775,Democrat,59.7,0,Republican,0.0,23006,Republican,28.3,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,13072,Republican,16.1,0,0.0,0,0.0,562960,558979,0.8,6.0,22.4,15.0,52.0,71.1,21.2,0.2,5.4,0.0,2.0,3.5,68.6,34153,9.3,91.8,35.0,221921,24.7,70.6,234100,435,204771,2.62,90.0,11.6,27.7,64041,33179,10.3,7794,190603,42199,63584,11456,3040.5,183.84,74616,78459,0
282,Cayuga,NY,0,Republican,0.0,2654,Democrat,52.7,0,Republican,0.0,0,Republican,0.0,3024,Republican,49.6,2383,Democrat,47.3,0,Republican,0.0,1942,Republican,31.8,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1136,Republican,18.6,0,0.0,0,0.0,78823,80026,-1.5,5.2,20.4,17.1,48.9,92.7,4.3,0.4,0.7,0.1,1.9,2.8,90.7,6608,2.4,86.3,19.6,36392,20.2,72.0,106600,171,31311,2.41,86.7,4.5,21.4,51581,24702,12.7,763,11099,0,8840,11060,115.7,691.58,5037,6102,0
283,Tazewell,VA,354,Republican,6.0,476,Democrat,40.2,0,Republican,0.0,0,Republican,0.0,3421,Republican,57.9,683,Democrat,57.7,0,Republican,0.0,214,Republican,3.6,893,Republican,15.1,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,968,Republican,16.4,0,0.0,0,0.0,43452,45078,-3.6,5.0,19.6,19.2,50.3,94.6,3.4,0.2,0.7,0.0,1.1,0.9,93.8,3265,0.8,77.0,12.9,20677,7.9,73.0,88000,26,18294,2.37,90.1,1.4,25.1,35693,21358,18.3,521,3545,0,8117,18473,86.9,518.85,1159,5850,0
284,Charleston,SC,2467,Republican,4.5,13420,Democrat,33.4,0,Republican,0.0,0,Republican,0.0,14420,Republican,26.4,26535,Democrat,66.0,6140,Republican,11.2,7301,Republican,13.4,15247,Republican,27.9,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,9050,Republican,16.6,0,0.0,0,0.0,381015,350209,8.8,6.1,20.2,14.5,51.6,67.7,28.6,0.4,1.6,0.1,1.5,5.1,63.4,31268,5.4,88.3,39.4,178050,29.3,60.6,236100,3123,143717,2.41,80.4,7.2,22.4,50792,30158,18.2,13827,53381,32673,63209,18348,382.3,916.09,39955,54625,0
285,Jefferson,MS,0,Republican,0.0,175,Democrat,10.1,0,Republican,0.0,0,Republican,0.0,116,Republican,48.3,1550,Democrat,89.0,0,Republican,0.0,19,Republican,7.9,16,Republican,6.7,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,85,Republican,35.4,0,0.0,0,0.0,7599,7726,-1.7,6.8,23.2,13.9,50.2,14.1,85.1,0.2,0.0,0.1,0.5,0.5,14.0,304,0.0,79.7,19.9,3677,9.5,71.5,61500,0,2520,2.84,94.0,0.4,24.6,26028,12723,40.0,0,0,0,186,2073,14.9,519.93,1725,236,1
286,Shelby,OH,0,Republican,0.0,1110,Democrat,45.2,0,Republican,0.0,0,Republican,0.0,4556,Republican,39.3,1284,Democrat,52.3,0,Republican,0.0,4693,Republican,40.5,282,Republican,2.4,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1864,Republican,16.1,0,0.0,0,0.0,48951,49423,-1.0,6.4,26.0,14.8,49.8,94.6,2.2,0.2,1.0,0.1,1.8,1.6,93.3,3468,1.6,88.2,14.5,20190,16.4,74.6,123400,41,18311,2.66,88.6,2.5,18.7,50427,24028,11.4,551,62384,0,4325,8884,121.2,407.68,2394,11395,0
287,Hartley,TX,55,Republican,5.0,19,Democrat,36.5,0,Republican,0.0,0,Republican,0.0,247,Republican,22.6,29,Democrat,55.8,0,Republican,0.0,41,Republican,3.8,146,Republican,13.4,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,577,Republican,52.9,0,0.0,0,0.0,6089,6062,0.4,5.3,21.1,14.6,38.3,90.1,7.5,0.7,0.7,0.0,0.9,26.3,64.6,472,8.6,80.9,20.6,1987,9.2,66.1,143700,0,1748,2.61,81.7,18.4,12.8,65750,24566,8.6,10,0,418,340,6549,4.1,1462.03,48,1066,0
288,Yakima,WA,0,Republican,0.0,393,Democrat,75.7,0,Republican,0.0,0,Republican,0.0,14872,Republican,82.6,123,Democrat,23.7,0,Republican,0.0,1063,Republican,5.9,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1366,Republican,7.6,0,0.0,0,0.0,247687,243231,1.8,8.4,29.8,12.8,49.9,88.0,1.5,6.0,1.5,0.2,2.8,47.7,45.0,14210,18.1,71.0,15.5,86374,17.8,62.2,156300,442,79679,3.02,84.2,39.6,19.8,43506,19433,22.6,2456,26860,0,24256,10442,56.6,4295.4,516,17301,0
289,King,WA,0,Republican,0.0,6704,Democrat,67.3,0,Republican,0.0,0,Republican,0.0,64740,Republican,71.6,3246,Democrat,32.6,0,Republican,0.0,13974,Republican,15.4,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,8861,Republican,9.8,0,0.0,0,0.0,2079967,1931249,7.7,6.2,21.0,12.2,50.0,70.1,6.7,1.1,16.4,0.8,4.9,9.4,62.4,119707,20.7,92.1,46.6,880462,38.2,58.2,377300,14703,802606,2.42,81.5,25.9,27.0,71811,39911,11.5,54789,373907,410426,371538,20002,912.9,2115.57,9950,87575,0
290,Washita,OK,75,Republican,5.8,700,Democrat,60.1,0,Republican,0.0,0,Republican,0.0,352,Republican,27.2,292,Democrat,25.1,0,Republican,0.0,22,Republican,1.7,264,Republican,20.4,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,560,Republican,43.3,0,0.0,0,0.0,11547,11629,-0.7,6.7,25.8,16.5,49.8,91.5,1.2,3.9,0.3,0.0,3.0,9.6,83.9,942,2.3,85.0,18.0,5461,3.8,70.7,76500,0,4630,2.48,85.7,6.0,22.8,46686,23811,16.3,32,0,386,764,6572,11.6,1003.17,992,1273,0
291,Clark,AR,144,Republican,5.5,494,Democrat,22.5,0,Republican,0.0,0,Republican,0.0,694,Republican,26.4,1650,Democrat,75.2,0,Republican,0.0,102,Republican,3.9,750,Republican,28.5,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,907,Republican,34.5,0,0.0,0,0.0,22576,22995,-1.8,4.9,19.2,16.1,52.1,73.4,24.0,0.6,0.7,0.0,1.4,4.4,69.6,1804,2.6,86.2,21.4,10435,17.1,63.5,86600,3,8341,2.41,81.2,5.2,19.9,32721,17960,24.3,327,4338,0,2477,10461,26.6,866.07,2144,2597,0
292,Columbus,NC,0,Republican,0.0,2002,Democrat,31.1,0,Republican,0.0,0,Republican,0.0,2162,Republican,60.7,3628,Democrat,56.3,0,Republican,0.0,183,Republican,5.1,149,Republican,4.2,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,993,Republican,27.9,0,0.0,0,0.0,56953,58098,-2.0,5.5,22.3,17.7,50.7,63.9,30.5,3.5,0.4,0.1,1.7,4.9,60.3,4042,3.0,79.2,12.2,25908,6.3,71.5,84500,35,21758,2.52,88.5,5.8,24.0,35761,19275,25.0,411,8876,2342,5276,9769,62.0,937.29,5630,3487,1
293,St. Croix,WI,0,Republican,0.0,5671,Democrat,53.3,0,Republican,0.0,0,Republican,0.0,6700,Republican,39.3,4891,Democrat,46.0,0,Republican,0.0,2655,Republican,15.6,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,6892,Republican,40.5,0,0.0,0,0.0,86759,84345,2.9,6.2,25.9,12.2,50.1,96.4,0.7,0.5,1.0,0.0,1.4,2.3,94.4,5830,2.1,94.9,33.0,34691,15.6,77.8,206900,292,32114,2.62,87.3,3.5,27.9,68426,32220,7.6,1108,13472,19869,9334,11509,116.8,722.33,10562,16247,0
294,Caribou,ID,0,Republican,0.0,7,Democrat,70.0,0,Republican,0.0,0,Republican,0.0,304,Republican,22.5,3,Democrat,30.0,0,Republican,0.0,87,Republican,6.4,299,Republican,22.1,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,602,Republican,44.5,0,0.0,0,0.0,6837,6963,-1.8,7.4,28.6,16.8,49.8,97.1,0.2,0.6,0.6,0.2,1.2,5.3,92.2,478,2.8,88.7,17.5,3217,3.4,84.1,116300,9,2644,2.56,89.0,3.3,18.7,53586,23586,7.8,0,4432,945,683,9967,3.9,1764.15,10,1292,0
295,Jefferson,MT,0,Republican,0.0,787,Democrat,50.1,0,Republican,0.0,0,Republican,0.0,1648,Republican,74.5,716,Democrat,45.6,0,Republican,0.0,138,Republican,6.2,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,241,Republican,10.9,0,0.0,0,0.0,11558,11406,1.3,4.2,21.0,18.7,49.0,94.8,0.4,1.7,0.5,0.0,2.5,2.3,92.9,1397,1.5,94.3,33.5,5041,1.7,85.9,230100,1,4527,2.46,84.6,1.8,21.1,60863,30397,7.8,72,0,0,398,3584,6.9,1656.26,1503,2027,0
296,Washington,AL,152,Republican,6.4,562,Democrat,21.4,0,Republican,0.0,0,Republican,0.0,1269,Republican,53.7,1511,Democrat,57.5,0,Republican,0.0,27,Republican,1.1,362,Republican,15.3,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,516,Republican,21.8,0,0.0,0,0.0,16834,17581,-4.3,4.9,22.5,17.0,51.2,66.0,24.6,7.9,0.1,0.1,1.3,1.4,65.1,1025,0.9,80.5,9.5,8377,2.0,86.5,83900,2,6620,2.59,91.3,1.9,31.8,42156,20395,18.4,0,11534,328,763,4458,16.3,1080.21,2073,2326,0
297,Luce,MI,0,Republican,0.0,291,Democrat,61.8,0,Republican,0.0,0,Republican,0.0,407,Republican,43.7,167,Democrat,35.5,0,Republican,0.0,154,Republican,16.5,66,Republican,7.1,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,242,Republican,26.0,0,0.0,0,0.0,6426,6631,-3.1,4.2,16.5,20.1,41.5,79.9,11.5,5.0,0.2,0.0,3.2,1.4,78.9,597,2.0,85.8,12.7,4338,5.7,75.1,79400,13,2427,2.25,85.4,3.7,14.2,39469,18768,18.6,73,0,0,740,11044,7.4,899.08,458,869,0
298,Powder River,MT,0,Republican,0.0,34,Democrat,58.6,0,Republican,0.0,0,Republican,0.0,516,Republican,78.5,24,Democrat,41.4,0,Republican,0.0,41,Republican,6.2,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,48,Republican,7.3,0,0.0,0,0.0,1783,1743,2.3,2.7,17.4,23.6,49.4,95.9,0.1,1.9,0.2,0.0,2.0,2.0,94.2,136,0.0,93.1,19.9,1013,4.1,69.9,105200,0,720,2.26,88.5,1.8,13.7,46250,28528,9.2,22,0,0,138,8108,0.5,3297.3,58,605,0
299,Fulton,GA,2760,Republican,3.3,33320,Democrat,28.7,0,Republican,0.0,0,Republican,0.0,22368,Republican,26.6,82576,Democrat,71.1,0,Republican,0.0,10550,Republican,12.5,35052,Republican,41.6,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,12267,Republican,14.6,0,0.0,0,0.0,996319,920581,8.2,6.4,23.2,10.4,51.4,46.7,44.3,0.3,6.7,0.1,2.0,7.6,40.5,47038,12.9,90.4,48.2,448897,43.9,53.9,238200,8098,368184,2.49,79.9,16.7,27.0,56857,36757,17.6,41338,104284,408241,132396,13363,1748.0,526.64,115896,82997,1
