,County,State,Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,No Preference.Number of Votes,No Preference.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Percent of Votes,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area,Democratic,Republic,Party
1162,Niagara,NY,0,Republican,0.0,8916,Democrat,53.7,0,Republican,0.0,0,Republican,0.0,10940,Republican,67.5,7694,Democrat,46.3,0,Republican,0.0,3077,Republican,19.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,2197,Republican,13.6,0,0.0,0,0.0,213525,216469,-1.4,5.2,20.3,17.4,51.3,88.3,7.1,1.1,1.1,0.0,2.3,2.6,86.3,17481,3.8,89.9,22.2,99175,25.9,70.4,105200,196,88376,2.39,90.3,4.5,21.1,47955,25991,13.7,6623,34330,10593,20751,9689,414.4,522.36,16610,16214,1
1163,Dallas,AL,46,Republican,5.3,1774,Democrat,15.4,0,Republican,0.0,0,Republican,0.0,523,Republican,59.7,8577,Democrat,74.4,0,Republican,0.0,23,Republican,2.6,76,Republican,8.7,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,181,Republican,20.7,0,0.0,0,0.0,41711,43820,-4.8,6.7,25.2,15.6,53.7,29.0,69.5,0.2,0.5,0.0,0.7,1.0,28.5,2897,0.8,77.5,14.2,20240,19.3,60.9,75700,17,16173,2.63,86.7,1.3,22.0,26519,17245,35.5,337,11747,0,4373,10223,44.8,978.7,10351,849,1
1164,Ontario,NY,0,Republican,0.0,3361,Democrat,53.8,0,Republican,0.0,0,Republican,0.0,4122,Republican,51.2,2884,Democrat,46.2,0,Republican,0.0,2430,Republican,30.2,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1500,Republican,18.6,0,0.0,0,0.0,109707,107931,1.5,5.0,20.8,17.7,50.9,94.0,2.6,0.3,1.2,0.0,1.8,4.3,90.6,8978,3.6,91.8,31.7,49603,20.6,73.7,138100,323,43794,2.39,85.4,6.4,22.6,56479,29904,9.5,2063,20973,5367,18942,18243,167.6,644.07,6245,8052,0
1165,Benton,MS,0,Republican,0.0,93,Democrat,14.2,0,Republican,0.0,0,Republican,0.0,555,Republican,53.7,557,Democrat,85.2,0,Republican,0.0,31,Republican,3.0,34,Republican,3.3,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,388,Republican,37.6,0,0.0,0,0.0,8296,8729,-5.0,5.2,22.4,17.9,50.0,62.2,36.2,0.4,0.1,0.0,1.0,2.5,60.2,412,1.1,73.0,9.9,4195,2.0,81.7,81200,2,3195,2.69,89.4,2.5,35.3,31060,18597,24.1,0,0,0,251,3141,21.5,406.62,650,1008,0
1166,Cleveland,OK,2038,Republican,5.7,16428,Democrat,59.3,0,Republican,0.0,0,Republican,0.0,9387,Republican,26.2,10433,Democrat,37.6,0,Republican,0.0,1466,Republican,4.1,10101,Republican,28.2,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,12328,Republican,34.4,0,0.0,0,0.0,269908,255755,5.5,5.9,22.3,11.9,50.1,80.0,4.9,5.1,4.4,0.1,5.5,7.9,73.4,21755,5.9,90.9,31.4,110355,20.0,67.4,141300,1743,96701,2.58,79.5,9.4,22.9,54989,26920,12.9,3918,12230,6715,25222,10692,474.7,538.77,26861,35320,0
1167,Alexander,NC,0,Republican,0.0,1123,Democrat,44.8,0,Republican,0.0,0,Republican,0.0,2608,Republican,41.9,1148,Democrat,45.8,0,Republican,0.0,374,Republican,6.0,242,Republican,3.9,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,2830,Republican,45.5,0,0.0,0,0.0,37392,37198,0.5,5.0,21.0,18.9,49.2,91.2,5.9,0.4,1.1,0.0,1.3,4.4,87.3,2507,2.6,79.3,11.7,16170,3.8,77.5,121300,53,14101,2.57,91.2,5.0,24.3,40637,20440,17.2,225,6047,497,2167,5957,143.1,259.99,2271,6054,0
1168,Morgan,MO,0,Republican,0.0,506,Democrat,47.1,0,Republican,0.0,0,Republican,0.0,1976,Republican,51.8,554,Democrat,51.5,0,Republican,0.0,240,Republican,6.3,165,Republican,4.3,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1345,Republican,35.3,0,0.0,0,0.0,20240,20565,-1.6,6.0,22.0,23.7,49.7,96.1,1.0,0.7,0.5,0.0,1.6,1.9,94.6,2224,1.2,79.2,12.7,15382,5.6,80.1,110500,4,8164,2.46,89.0,7.6,25.0,34797,17935,23.4,133,1081,220,1914,9221,34.4,597.63,1060,3726,0
1169,Pottawattamie,IA,543,Republican,12.4,1573,Democrat,50.8,80,Republican,1.8,53,Republican,1.2,1508,Republican,34.5,1519,Democrat,49.0,70,Republican,1.6,127,Republican,2.9,750,Republican,17.2,0,Democrat,0.0,25,Republican,0.6,156,Republican,3.6,115,Republican,2.6,942,Republican,21.5,0,0.0,7,0.2,93128,93158,0.0,6.5,23.7,15.7,50.9,95.2,1.6,0.7,0.8,0.1,1.7,7.2,88.7,7373,3.3,89.3,19.1,39589,18.7,70.2,126300,122,36460,2.49,85.1,6.2,20.8,51304,25847,13.8,4514,0,22566,15033,16784,98.0,950.28,3092,4369,0
1170,Sevier,UT,0,Republican,0.0,85,Democrat,71.4,0,Republican,0.0,0,Republican,0.0,374,Republican,23.8,34,Democrat,28.6,0,Republican,0.0,189,Republican,12.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1010,Republican,64.2,0,0.0,0,0.0,20773,20802,-0.1,7.0,30.2,15.7,49.1,96.5,0.3,1.5,0.4,0.2,1.2,4.9,92.3,1266,2.4,89.9,16.4,8513,7.3,79.0,151400,45,7146,2.82,85.4,4.7,15.3,46229,19115,15.4,247,0,1119,3246,16494,10.9,1910.58,119,1573,0
1171,Miller,MO,0,Republican,0.0,480,Democrat,51.7,0,Republican,0.0,0,Republican,0.0,2482,Republican,49.0,432,Democrat,46.5,0,Republican,0.0,325,Republican,6.4,213,Republican,4.2,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1918,Republican,37.9,0,0.0,0,0.0,25141,24748,1.6,6.0,23.6,18.0,50.1,96.6,0.6,0.6,0.4,0.2,1.7,1.9,95.0,2496,1.1,84.8,14.5,12731,13.0,77.1,112000,85,10034,2.45,85.9,2.0,28.8,35507,19385,20.9,300,748,688,4517,18214,41.8,592.6,912,4938,0
